Error	Level: Admin_S2	Actor: RRescuePoint_6	RRescuePoint_6 : Grapple point is not valid - please adjust or delete from the map.
Error	Level: Admin_B1	Actor: RRemoveableGrate_GroundLevel_4	RRemoveableGrate_GroundLevel_4 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Admin_B1	Actor: RRemoveableGrate_GroundLevel_1	RRemoveableGrate_GroundLevel_1 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Admin_B1	Actor: RRemoveableGrate_GroundLevel_0	RRemoveableGrate_GroundLevel_0 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Admin_B1	Actor: RRemoveableGrate_Harpoon_0	RRemoveableGrate_Harpoon_0 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Admin_B3_Animation	Actor: RRemoveableGrate_Harpoon_0	RRemoveableGrate_Harpoon_0 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Admin_C1_CH56_Plants	Actor: RRescuePoint_0	RRescuePoint_0 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_C1_CH7_Plants	Actor: RRescuePoint_0	RRescuePoint_0 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_C1	Actor: RRemoveableGrate_Harpoon_0	RRemoveableGrate_Harpoon_0 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Admin_B2	Actor: RGrapplePoint_4	RGrapplePoint_4 : Grapple point is not valid - please adjust or delete from the map.
Error	Level: Admin_B2	Actor: RGrapplePoint_7	RGrapplePoint_7 : Grapple point is not valid - please adjust or delete from the map.
Error	Level: Admin_B2	Actor: RGrapplePoint_13	RGrapplePoint_13 : Grapple point is not valid - please adjust or delete from the map.
Error	Level: Admin_B2	Actor: RGrapplePoint_22	RGrapplePoint_22 : Grapple point is not valid - please adjust or delete from the map.
Error	Level: Admin_B2	Actor: RGrapplePoint_25	RGrapplePoint_25 : Grapple point is not valid - please adjust or delete from the map.
Error	Level: Admin_B2	Actor: RGrapplePoint_64	RGrapplePoint_64 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_44	RGrapplePoint_44 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_23	RGrapplePoint_23 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_5	RGrapplePoint_5 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_1366	RGrapplePoint_1366 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_1359	RGrapplePoint_1359 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_1336	RGrapplePoint_1336 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RGrapplePoint_1329	RGrapplePoint_1329 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_B2	Actor: RRemoveableGrate_Harpoon_1	RRemoveableGrate_Harpoon_1 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Admin_B2	Actor: RRemoveableGrate_Harpoon_2	RRemoveableGrate_Harpoon_2 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Admin_A_CH1234_Grapple	Actor: RGrapplePoint_48	RGrapplePoint_48 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Admin_A_CH567_Grapple	Actor: RGrapplePoint_69	RGrapplePoint_69 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Garden_C2	Actor: RRemoveableGrate_Harpoon_1	RRemoveableGrate_Harpoon_1 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Garden_C2	Actor: RRemoveableGrate_GroundLevel_1	RRemoveableGrate_GroundLevel_1 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Garden_B4_Static	Actor: RGrapplePoint_Unusable_5	RGrapplePoint_Unusable_5 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Garden_B4	Actor: RGrapplePoint_Unusable_4	RGrapplePoint_Unusable_4 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
Error	Level: Garden_B3	Actor: RRemoveableGrate_GroundLevel_1	RRemoveableGrate_GroundLevel_1 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Max_B5	Actor: RRemoveableGrate_GroundLevel_0	RRemoveableGrate_GroundLevel_0 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Max_B5	Actor: RRemoveableGrate_GroundLevel_1	RRemoveableGrate_GroundLevel_1 : Removable grate is not valid - it requires a space of 128x128x256 beside the grate.
Error	Level: Max_B1_CH267	Actor: RRescuePoint_0	RRescuePoint_0 : Multiple grapple points on one spot (2)!!.  Please delete un-needed points.
